input_voltage,adc_output
2.05,400
2.05,401
2.18,410
2.18,409
2.18,409
2.19,410
2.19,410
2.24,413
2.25,413
2.24,413
2.33,418
2.34,418
2.36,418
2.38,420
2.41,423
2.42,422
2.41,422
2.42,421
2.41,421
2.41,421
2.42,423
2.45,423
2.48,424
2.53,427
2.54,428
2.56,428
2.61,431
2.65,434
2.66,434
2.67,433
2.72,437
2.73,436
2.75,436
2.79,438
2.83,439
2.87,441
2.88,442
2.92,442
2.92,442
2.94,444
2.94,443
2.98,445
3.01,446
3.03,447
3.04,448
3.07,447
3.11,449
3.12,450
3.12,449
3.15,450
3.16,451
3.18,452
3.20,451
3.22,453
3.24,454
3.25,453
3.27,455
3.29,455
3.30,455
3.32,456
3.31,455
3.31,456
3.34,456
3.43,459
3.46,460
3.51,460
