"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"OSHW-logo_silkscreen-back_8mm";1;"OSHW-logo_silkscreen-back_8mm";;;
2;"BAT1";"BatteryHolder_Keystone_3008_1x2450";1;"BS-7";;;
3;"R8,R7";"R_0805_2012Metric";2;"470k";;;
4;"TP9";"TestPoint_Pad_D1.0mm";1;"GND";;;
5;"TP8";"TestPoint_Pad_D1.0mm";1;"3.3";;;
6;"Q2,Q1";"SOT-23";2;"MMBT3904";;;
7;"Cpara1";"C_0805_2012Metric";1;"5p";;;
8;"C1";"C_0805_2012Metric";1;"1n";;;
9;"C2,C3,C4";"C_0805_2012Metric";3;"10u";;;
10;"D1";"D_MiniMELF";1;"LL4148";;;
11;"J1";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"Conn_01x02_Female";;;
12;"L1";"SOT-89-3_Handsoldering";1;"HT7333-A";;;
13;"MOD1";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
14;"R1,R2,R4";"R_0805_2012Metric";3;"10k";;;
15;"R3,R5,R9";"R_0805_2012Metric";3;"1k";;;
16;"R6";"R_0805_2012Metric";1;"1M";;;
17;"TP1";"TestPoint_Pad_D1.0mm";1;"IO0";;;
18;"TP2";"TestPoint_Pad_D1.0mm";1;"EN";;;
19;"TP3";"TestPoint_Pad_D1.0mm";1;"Csen+";;;
20;"TP4";"TestPoint_Pad_D1.0mm";1;"Vsen_out";;;
21;"TP5";"TestPoint_Pad_D1.0mm";1;"TX";;;
22;"TP6";"TestPoint_Pad_D1.0mm";1;"RX";;;
23;"C6";"C_0805_2012Metric";1;"100p";;;
24;"C5";"C_0805_2012Metric";1;"0.1u";;;
25;"U1";"SOT-23";1;"XB3303A";;;
