Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1n","C_0402_1005Metric",69.762000,-59.069000,-90.000000,top
"C2","100n","C_0402_1005Metric",70.524000,-55.432000,90.000000,top
"C3","12p","C_0402_1005Metric",63.920000,-52.996000,90.000000,top
"C4","12p","C_0402_1005Metric",65.698000,-53.019000,-90.000000,top
"D1","LL4148","D_MiniMELF",66.742000,-55.536000,180.000000,top
"D2","LED","LED_0603_1608Metric",61.405500,-52.869000,180.000000,top
"Q1","2N3906","SOT-23",64.936000,-58.568000,-90.000000,top
"Q4","Q_Photo_NPN","TR8",58.078000,-32.676000,90.000000,top
"R1","10k","R_0402_1005Metric",61.530000,-55.663000,0.000000,top
"R2","1k","R_0402_1005Metric",61.507000,-50.202000,180.000000,top
"R4","10k","R_0402_1005Metric",61.530000,-57.822000,180.000000,top
"R6","1M","R_0402_1005Metric",71.540000,-59.069000,-90.000000,top
"R7","10k","R_0402_1005Metric",74.588000,-53.019000,-90.000000,top
"R8","10k","R_0402_1005Metric",76.239000,-53.019000,90.000000,top
"R10","470","R_0402_1005Metric",58.840000,-29.882000,180.000000,top
"S1","B3U-1000P","SW_B3U-1000P",72.300000,-50.262500,-90.000000,top
"S2","B3U-1000P","SW_B3U-1000P",68.400000,-50.262500,-90.000000,top
"U1","E73-2G4M08S1C","E73-2G4M08S1C",66.968000,-36.572550,0.000000,top
"U2","SHTC3","Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm",74.080000,-56.044000,180.000000,top
"Y1","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",64.702000,-49.694000,0.000000,top
