Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7, C9",C_0402_1005Metric,3,4.7u,C1525
C2,C_0402_1005Metric,1,10n,
"C3, C4",C_0402_1005Metric,2,12p,C1547
C5,PHVL-3R9H155-R,1,1.5F,PHVL-3R9H155-R 
D2,LED_0402_1005Metric,1,LED,C2286
L1,L_Taiyo-Yuden_NR-40xx,1,22uH,YNR4018-220M
"R1, R3, R4, R7",R_0402_1005Metric,4,1M,C26083
"R10, R14, R16, R17",R_0402_1005Metric,4,4.99M,C11702
"R11, R12",R_0402_1005Metric,2,3.01M,C11702
"R13, R15, R18",R_0402_1005Metric,3,5.23M,C11702
R2,R_0402_1005Metric,1,1k,C11702
R9,R_0402_1005Metric,1,5.23,C11702
SC1,KXOB25-04X3F,1,KXOB25-04X3F-TR,
"SNS_BOT1, SNS_MID1, SNS_TOP1",solar-bug-sensor,3,C_Variable,
TP1,JLINK_6PIN,1,JLINK-6PIN,
U1,E73-2G4M08S1C-52840,1,E73-2G4M08S1C-52840,C356849
U3,VQFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,1,BQ25504,
Y1,Crystal_SMD_MicroCrystal_CM9V-T1A-2Pin_1.6x1.0mm,1,32.768kHz,C179633
